id,name,category,pricingCategory,retailPrice,showInPos,vsp_tier,eyemed_tier,spectera_tier
0e285f30-0555-430a-a1da-2402fd40b6ee,Slab-Off per lens,ADDON,ADDON,222.60,false,,,
d7c7dd5e-6cb8-40cb-acea-59793ff8cfbe,Polarized w/ Xperio UV / Xperio UV Mirror,ADDON,ADDON,219.80,false,,,
1f0ff367-389a-4eb4-a0c6-fc0820127843,Essilor Ideal Advanced Wrap,ADDON,ADDON,208.00,false,,,
eb8985f0-e5c5-4db6-b4ed-b3e3e4a20a25,Myodisc & Lenticular Grind,ADDON,ADDON,180.80,false,,,
a3aec931-2b30-4409-939c-195b37e9d927,Double Side Grind,ADDON,ADDON,65.20,false,,,
36c5c9a5-9fed-4e05-90d6-68d41cea3629,Adds Over 4.00 Per Pair,ADDON,ADDON,39.60,false,,,
140ca655-0187-4241-a405-37d38872d1b9,Adds Over 3.00 Per Pair,ADDON,ADDON,33.00,false,,,
b878cbce-987c-44b8-a536-f036d3847557,Frosted Lens (Each Lens),ADDON,ADDON,27.60,false,,,
c7048f34-df4f-4de0-93b2-21ea9d5e083a,Special Base Curve - MF,ADDON,ADDON,24.40,false,,,
792604f1-9966-4020-bf7b-c8b1209ca212,Special Base Curve - SV,ADDON,ADDON,20.00,false,,,
db3dc5ba-7d25-475b-8225-29ab1b89782a,Spheres over Base Range Per D Per Pair,ADDON,ADDON,15.00,false,,,
9db28ea9-ddd9-43cb-abe7-f0c2cf965319,Cylinder over Base Range Per D Per Pair,ADDON,ADDON,15.00,false,,,
8218259d-81e9-48dc-81d2-06c7f944e693,Prism over Base Range Per D Per Lens,ADDON,ADDON,8.20,false,,,
8f676cf8-212c-4be3-a2fe-9d8688f4382f,UNCUT Deduct,ADDON,ADDON,-20.00,false,,,
7526123c-dd3a-4ff4-8236-197243a87b9b,Bi-Concave,LENS,ADDON,48.00,false,,,
23960247-0a29-45f3-9cf9-0c8aeaacd3c4,Solid Tint,ADDON,TINT,40.08,true,,,
ebf68f4f-c3bd-4d3f-bf87-a59a639b5b39,Gradient Tint,ADDON,TINT,48.00,true,,,
85e4ab3a-af8b-4232-98bb-c6feb154e072,Mirror - Solid Color,ADDON,TINT,60.00,true,,,
cdc0ab0c-155a-449a-a8bd-24dbf85e1523,Style Mirrors (Add to XTRActive),ADDON,TINT,74.00,false,,,
38063237-c471-4a60-9680-db4169031cd8,Mirror - Gradient,ADDON,TINT,58.40,false,,,
b01805bd-5f07-4999-a215-2dd4027577f4,Multi-Gradient / Double Tints,ADDON,TINT,34.40,false,,,
0b4675b5-5b1a-4c29-9557-77fa251d3f65,Gradient Tint - CR39/Poly CLR Lens,ADDON,TINT,30.00,false,,,
ad50a5fa-180d-4e05-9acb-e884d00bd14c,Remove Tint,ADDON,TINT,24.40,false,,,
77715afd-0f85-4183-beec-f253cfb5acc2,Solid Tint - CR39/Poly CLR Lens,ADDON,TINT,17.80,false,,,
1caacab4-7baa-4093-8c68-1dbe674fb40f,Gradient Tint - CR39/Poly Polar Lens,ADDON,TINT,15.60,false,,,
2407bbba-8921-43f3-8738-22cb3d0b0838,Gradient (Lens),LENS,TINT,45.00,false,,,
1f7c1d0e-61db-41c1-a684-09058dce2633,Solid (Lens),LENS,TINT,26.70,false,,,
e7cd5f28-9f97-4600-80d7-86a70ee7717e,Grooved Rimless,ADDON,EDGING,35.00,true,,,
07a3363d-7776-45c7-9109-20f651523880,Rimless Drilled (up to 4 holes),ADDON,EDGING,50.00,true,,,
0746d0a9-1404-4248-a114-112727474916,Roll & Polish,ADDON,EDGING,25.00,true,,,
d39c0649-b2fc-43b7-ac1e-b10e481803a9,Rimless Drilled - Special,ADDON,EDGING,85.00,false,,,
3ac2e97d-e120-4ce4-9a50-07fc1ddad31d,Press-On Prism (Optics) Supply & Mount,ADDON,EDGING,74.00,false,,,
6cb78425-ab50-4e90-9204-aa41d4e610cf,Rimless Drilled (up to 8 holes),ADDON,EDGING,52.00,false,,,
f8a16640-436c-45c1-9732-646a445fa193,Rimless Drill and/or Notch,ADDON,EDGING,52.00,false,,,
48050578-e848-4c87-bcf5-83d96b2d2c4d,Cut Edge Mount Customer Lens,ADDON,EDGING,36.40,false,,,
72e24e21-2aa0-489a-833e-8a79b0598663,Groove & Paint (Color Groove),ADDON,EDGING,32.00,false,,,
95211a0e-b418-4d40-8b25-429c3bb456b8,Full Metal Groove,ADDON,EDGING,32.00,false,,,
ecf30a1f-70c8-4dbe-92c2-d3685977f14f,Wrap Lens,ADDON,EDGING,32.00,false,,,
d1958e12-d59a-4329-a091-c1753ca58e44,Modify to Shape / Custom Shape / Hand Edge,ADDON,EDGING,31.00,false,,,
47daccd8-a39f-4f35-a180-8de77808047c,Sport Edge / Wrap Frame,ADDON,EDGING,31.00,false,,,
acd80752-aa4e-4213-a1d1-c15fe1608309,Swim Goggle Edge & Mount,ADDON,EDGING,30.00,false,,,
2d06b2bb-3655-4975-866d-5884a0eda607,Engrave Initials Name or Standard Design,ADDON,EDGING,25.40,false,,,
0ed90949-6362-4e4c-ac50-4ba287fde19a,Edge Coating: ColorSmart,ADDON,EDGING,22.20,false,,,
b772ac48-a43a-411f-95f5-aa6ab8a7b260,Roll Edges (Service),ADDON,EDGING,14.40,false,,,
edf229bd-640e-473e-83df-1b3947c6adfc,Double Facet Scalloped & Slotted,LENS,EDGING,201.90,false,,,
323309cd-df66-42bb-9f9a-ed366463ca3f,Facet,LENS,EDGING,152.40,false,,,
04f212ed-d610-4937-ae77-db8786c78326,Re-String Nylon Frame,LENS,EDGING,41.40,false,,,
42cd7ef5-ee53-42a2-abe3-b911c214c5b8,Insert / Mount Lenses,LENS,EDGING,20.10,false,,,
38960ae9-2ee1-48fb-993c-049d62f71d14,Double Solder & Materials,ADDON,REPAIR,71.60,false,,,
460ac1cc-afb8-44f8-b194-59b73b267202,Double Solder & Materials - Re-Insert Lenses,ADDON,REPAIR,54.00,false,,,
9e0da30f-1feb-444e-8b0e-163dd0da337e,Single Solder & Materials,ADDON,REPAIR,40.80,false,,,
188539f5-312b-4257-b8dd-947b4ac374ce,Replace 1 Temple,ADDON,REPAIR,30.00,false,,,
82bc1131-60a3-4713-ac6c-ac705755024e,Shorten / Cut Temples,ADDON,REPAIR,30.00,false,,,
7e324f8a-b4eb-4be5-927a-709d9d1d8f8f,Nose Pads: Attach Adjustable Silicon Nose Bridge,ADDON,REPAIR,28.80,false,,,
aaaf0e4b-d1a0-4977-ba8f-d4ecd9a71f78,Hinge Repair for Zyl Frame (Rivet/Shield),ADDON,REPAIR,25.40,false,,,
ff09ca73-d0ed-4a9b-aafd-8d1edc05f6e5,Hinge Repair for Zyl Frame (Hidden Hinge),ADDON,REPAIR,25.40,false,,,
a2559527-794e-4756-b250-d2025b012847,Nose Pads: Replacement (Fitted Soft or Silicone),ADDON,REPAIR,23.20,false,,,
71279d2c-6e84-457e-82f4-b70cad8b5517,Cable Temple Conversion - Metal Frame,ADDON,REPAIR,20.00,false,,,
948d2033-c492-444c-ac7f-45d0f178790e,Cable Temple Conversion - Zyl Frame,ADDON,REPAIR,20.00,false,,,
05779f5c-4bd3-4abc-b11d-d48501348051,Make or Modify Pattern from Customer Drawing,ADDON,REPAIR,20.00,false,,,
ebc1b6d2-9e14-4761-8fa1-fdb9b407538d,Drill Out Screws,ADDON,REPAIR,18.80,false,,,
a131ea27-50d2-438a-bf1c-93ac34a22f42,Nose Pads: Adjustable Pads/Arms for Zyl Frame,ADDON,REPAIR,16.60,false,,,
e7f14339-cc21-45a8-8edc-824bd95b2b2f,Temple Covers (Supply & Mount),ADDON,REPAIR,13.40,false,,,
6c748bcf-1344-4302-aabc-4c3e07f632c2,Re-Shape Metal Frame,LENS,REPAIR,56.40,false,,,
c0fcdf7a-28ed-44ec-949d-ed7631277f41,Regular Freight (FOB Shipping Point),ADDON,SHIPPING,3.88,false,,,
